Experiment name:,NeuLog experiment
'0:09.65,2.5439
'0:09.7,2.5433
'0:09.75,2.5429
'0:09.8,2.5423
'0:09.85,2.5419
'0:09.9,2.5419
'0:09.95,2.5419
'0:10,2.5417
'0:10.05,2.5411
'0:10.1,2.5405
'0:10.15,2.5396
'0:10.2,2.5388
'0:10.25,2.5382
'0:10.3,2.5374
'0:10.35,2.5366
'0:10.4,2.5356
'0:10.45,2.5346
'0:10.5,2.5337
'0:10.55,2.5327
'0:10.6,2.5317
'0:10.65,2.5307
'0:10.7,2.5297
'0:10.75,2.5285
'0:10.8,2.5275
'0:10.85,2.5265
'0:10.9,2.5254
'0:10.95,2.5242
'0:11,2.5230
'0:11.05,2.5220
'0:11.1,2.5210
'0:11.15,2.5198
'0:11.2,2.5188
'0:11.25,2.5178
'0:11.3,2.5168
'0:11.35,2.5155
'0:11.4,2.5145
'0:11.45,2.5131
'0:11.5,2.5121
'0:11.55,2.5109
'0:11.6,2.5097
'0:11.65,2.5087
'0:11.7,2.5075
'0:11.75,2.5063
'0:11.8,2.5051
'0:11.85,2.5041
'0:11.9,2.5031
'0:11.95,2.5017
'0:12,2.5005
'0:12.05,2.4991
'0:12.1,2.4979
'0:12.15,2.4969
'0:12.2,2.4957
'0:12.25,2.4945
'0:12.3,2.4933
'0:12.35,2.4921
'0:12.4,2.4907
'0:12.45,2.4893
'0:12.5,2.4881
'0:12.55,2.4869
'0:12.6,2.4857
'0:12.65,2.4845
'0:12.7,2.4833
'0:12.75,2.4823
'0:12.8,2.4810
'0:12.85,2.4800
'0:12.9,2.4790
'0:12.95,2.4778
'0:13,2.4770
'0:13.05,2.4760
'0:13.1,2.4752
'0:13.15,2.4746
'0:13.2,2.4740
'0:13.25,2.4736
'0:13.3,2.4732
'0:13.35,2.4728
'0:13.4,2.4724
'0:13.45,2.4720
'0:13.5,2.4718
'0:13.55,2.4714
'0:13.6,2.4712
'0:13.65,2.4712
'0:13.7,2.4714
'0:13.75,2.4714
'0:13.8,2.4714
'0:13.85,2.4716
'0:13.9,2.4718
'0:13.95,2.4714
'0:14,2.4716
'0:14.05,2.4720
'0:14.1,2.4720
'0:14.15,2.4720
'0:14.2,2.4716
'0:14.25,2.4712
'0:14.3,2.4710
'0:14.35,2.4707
'0:14.4,2.4703
'0:14.45,2.4699
'0:14.5,2.4695
'0:14.55,2.4691
'0:14.6,2.4685
'0:14.65,2.4681
'0:14.7,2.4679
'0:14.75,2.4675
'0:14.8,2.4669
'0:14.85,2.4667
'0:14.9,2.4663
'0:14.95,2.4655
'0:15,2.4645
'0:15.05,2.4639
'0:15.1,2.4633
'0:15.15,2.4626
'0:15.2,2.4620
'0:15.25,2.4614
'0:15.3,2.4608
'0:15.35,2.4598
'0:15.4,2.4590
'0:15.45,2.4582
'0:15.5,2.4574
'0:15.55,2.4565
'0:15.6,2.4555
'0:15.65,2.4545
'0:15.7,2.4535
'0:15.75,2.4525
'0:15.8,2.4514
'0:15.85,2.4504
'0:15.9,2.4494
'0:15.95,2.4482
'0:16,2.4470
'0:16.05,2.4461
'0:16.1,2.4447
'0:16.15,2.4435
'0:16.2,2.4423
'0:16.25,2.4412
'0:16.3,2.4400
'0:16.35,2.4388
'0:16.4,2.4377
'0:16.45,2.4367
'0:16.5,2.4355
'0:16.55,2.4345
'0:16.6,2.4334
'0:16.65,2.4322
'0:16.7,2.4310
'0:16.75,2.4299
'0:16.8,2.4287
'0:16.85,2.4275
'0:16.9,2.4264
'0:16.95,2.4252
'0:17,2.4242
'0:17.05,2.4235
'0:17.1,2.4227
'0:17.15,2.4219
'0:17.2,2.4213
'0:17.25,2.4206
'0:17.3,2.4198
'0:17.35,2.4192
'0:17.4,2.4188
'0:17.45,2.4182
'0:17.5,2.4179
'0:17.55,2.4177
'0:17.6,2.4173
'0:17.65,2.4167
'0:17.7,2.4161
'0:17.75,2.4155
'0:17.8,2.4150
'0:17.85,2.4148
'0:17.9,2.4144
'0:17.95,2.4136
'0:18,2.4130
'0:18.05,2.4124
'0:18.1,2.4119
'0:18.15,2.4111
'0:18.2,2.4107
'0:18.25,2.4101
'0:18.3,2.4096
'0:18.35,2.4090
'0:18.4,2.4084
'0:18.45,2.4078
'0:18.5,2.4071
'0:18.55,2.4063
'0:18.6,2.4055
'0:18.65,2.4051
'0:18.7,2.4046
'0:18.75,2.4038
'0:18.8,2.4028
'0:18.85,2.4021
'0:18.9,2.4013
'0:18.95,2.4003
'0:19,2.3994
'0:19.05,2.3984
'0:19.1,2.3974
'0:19.15,2.3965
'0:19.2,2.3957
'0:19.25,2.3950
'0:19.3,2.3940
'0:19.35,2.3932
'0:19.4,2.3923
'0:19.45,2.3913
'0:19.5,2.3904
'0:19.55,2.3894
'0:19.6,2.3885
'0:19.65,2.3873
'0:19.7,2.3865
'0:19.75,2.3858
'0:19.8,2.3846
'0:19.85,2.3839
'0:19.9,2.3833
'0:19.95,2.3822
'0:20,2.3812
'0:20.05,2.3801
'0:20.1,2.3789
'0:20.15,2.3778
'0:20.2,2.3766
'0:20.25,2.3755
'0:20.3,2.3746
'0:20.35,2.3734
'0:20.4,2.3725
'0:20.45,2.3715
'0:20.5,2.3706
'0:20.55,2.3696
'0:20.6,2.3687
'0:20.65,2.3677
'0:20.7,2.3666
'0:20.75,2.3656
'0:20.8,2.3645
'0:20.85,2.3636
'0:20.9,2.3628
'0:20.95,2.3617
'0:21,2.3605
'0:21.05,2.3596
'0:21.1,2.3587
'0:21.15,2.3575
'0:21.2,2.3566
'0:21.25,2.3555
'0:21.3,2.3545
'0:21.35,2.3536
'0:21.4,2.3526
'0:21.45,2.3517
'0:21.5,2.3509
'0:21.55,2.3500
'0:21.6,2.3489
'0:21.65,2.3479
'0:21.7,2.3470
'0:21.75,2.3461
'0:21.8,2.3449
'0:21.85,2.3444
'0:21.9,2.3440
'0:21.95,2.3429
'0:22,2.3419
'0:22.05,2.3410
'0:22.1,2.3403
'0:22.15,2.3393
'0:22.2,2.3386
'0:22.25,2.3376
'0:22.3,2.3367
'0:22.35,2.3360
'0:22.4,2.3350
'0:22.45,2.3343
'0:22.5,2.3335
'0:22.55,2.3326
'0:22.6,2.3318
'0:22.65,2.3309
'0:22.7,2.3302
'0:22.75,2.3292
'0:22.8,2.3283
'0:22.85,2.3276
'0:22.9,2.3268
'0:22.95,2.3259
'0:23,2.3250
'0:23.05,2.3242
'0:23.1,2.3235
'0:23.15,2.3227
'0:23.2,2.3222
'0:23.25,2.3218
'0:23.3,2.3212
'0:23.35,2.3209
'0:23.4,2.3205
'0:23.45,2.3203
'0:23.5,2.3199
'0:23.55,2.3198
'0:23.6,2.3196
'0:23.65,2.3196
'0:23.7,2.3194
'0:23.75,2.3194
'0:23.8,2.3194
'0:23.85,2.3196
'0:23.9,2.3198
'0:23.95,2.3198
'0:24,2.3199
'0:24.05,2.3199
'0:24.1,2.3199
'0:24.15,2.3198
'0:24.2,2.3198
'0:24.25,2.3196
'0:24.3,2.3194
'0:24.35,2.3194
'0:24.4,2.3192
'0:24.45,2.3190
'0:24.5,2.3188
'0:24.55,2.3186
'0:24.6,2.3183
'0:24.65,2.3183
'0:24.7,2.3179
'0:24.75,2.3177
'0:24.8,2.3174
'0:24.85,2.3172
'0:24.9,2.3170
'0:24.95,2.3166
'0:25,2.3161
'0:25.05,2.3157
'0:25.1,2.3153
'0:25.15,2.3149
'0:25.2,2.3144
'0:25.25,2.3138
'0:25.3,2.3135
'0:25.35,2.3129
'0:25.4,2.3124
'0:25.45,2.3118
'0:25.5,2.3112
'0:25.55,2.3107
'0:25.6,2.3100
'0:25.65,2.3094
'0:25.7,2.3087
'0:25.75,2.3081
'0:25.8,2.3074
'0:25.85,2.3068
'0:25.9,2.3063
'0:25.95,2.3052
'0:26,2.3042
'0:26.05,2.3035
'0:26.1,2.3028
'0:26.15,2.3020
'0:26.2,2.3011
'0:26.25,2.3004
'0:26.3,2.2995
'0:26.35,2.2985
'0:26.4,2.2976
'0:26.45,2.2969
'0:26.5,2.2960
'0:26.55,2.2950
'0:26.6,2.2939
'0:26.65,2.2930
'0:26.7,2.2921
'0:26.75,2.2914
'0:26.8,2.2903
'0:26.85,2.2895
'0:26.9,2.2888
'0:26.95,2.2881
'0:27,2.2870
'0:27.05,2.2859
'0:27.1,2.2852
'0:27.15,2.2842
'0:27.2,2.2833
'0:27.25,2.2824
'0:27.3,2.2815
'0:27.35,2.2808
'0:27.4,2.2800
'0:27.45,2.2793
'0:27.5,2.2786
'0:27.55,2.2775
'0:27.6,2.2762
'0:27.65,2.2753
'0:27.7,2.2748
'0:27.75,2.2740
'0:27.8,2.2733
'0:27.85,2.2728
'0:27.9,2.2726
'0:27.95,2.2719
'0:28,2.2713
'0:28.05,2.2709
'0:28.1,2.2704
'0:28.15,2.2691
'0:28.2,2.2679
'0:28.25,2.2677
'0:28.3,2.2686
'0:28.35,2.2684
'0:28.4,2.2661
'0:28.45,2.2624
'0:28.5,2.2601
'0:28.55,2.2599
'0:28.6,2.2597
'0:28.65,2.2608
'0:28.7,2.2626
'0:28.75,2.2633
'0:28.8,2.2637
'0:28.85,2.2642
'0:28.9,2.2646
'0:28.95,2.2646
'0:29,2.2642
'0:29.05,2.2633
'0:29.1,2.2619
'0:29.15,2.2606
'0:29.2,2.2604
'0:29.25,2.2601
'0:29.3,2.2579
'0:29.35,2.2550
'0:29.4,2.2532
'0:29.45,2.2520
'0:29.5,2.2514
'0:29.55,2.2516
'0:29.6,2.2521
'0:29.65,2.2532
'0:29.7,2.2545
'0:29.75,2.2563
'0:29.8,2.2577
'0:29.85,2.2601
'0:29.9,2.2642
'0:29.95,2.2699
'0:30,2.2766
'0:30.05,2.2848
'0:30.1,2.2952
'0:30.15,2.3083
'0:30.2,2.3242
'0:30.25,2.3432
'0:30.3,2.3656
'0:30.35,2.3911
'0:30.4,2.4190
'0:30.45,2.4494
'0:30.5,2.4819
'0:30.55,2.5174
'0:30.6,2.5562
'0:30.65,2.5952
'0:30.7,2.6344
'0:30.75,2.6777
'0:30.8,2.7229
'0:30.85,2.7686
'0:30.9,2.8136
'0:30.95,2.8550
'0:31,2.8927
'0:31.05,2.9285
'0:31.1,2.9660
'0:31.15,3.0119
'0:31.2,3.0623
'0:31.25,3.1106
'0:31.3,3.1542
'0:31.35,3.1931
'0:31.4,3.2337
'0:31.45,3.2806
'0:31.5,3.3291
'0:31.55,3.3723
'0:31.6,3.4080
'0:31.65,3.4389
'0:31.7,3.4714
'0:31.75,3.5013
'0:31.8,3.5233
'0:31.85,3.5392
'0:31.9,3.5501
'0:31.95,3.5605
'0:32,3.5743
'0:32.05,3.5926
'0:32.1,3.6089
'0:32.15,3.6204
'0:32.2,3.6304
'0:32.25,3.6353
'0:32.3,3.6329
'0:32.35,3.6286
'0:32.4,3.6326
'0:32.45,3.6472
'0:32.5,3.6638
'0:32.55,3.6750
'0:32.6,3.6799
'0:32.65,3.6802
'0:32.7,3.6778
'0:32.75,3.6747
'0:32.8,3.6713
'0:32.85,3.6648
'0:32.9,3.6583
'0:32.95,3.6571
'0:33,3.6598
'0:33.05,3.6632
'0:33.1,3.6642
'0:33.15,3.6638
'0:33.2,3.6620
'0:33.25,3.6571
'0:33.3,3.6534
'0:33.35,3.6515
'0:33.4,3.6512
'0:33.45,3.6518
'0:33.5,3.6522
'0:33.55,3.6546
'0:33.6,3.6611
'0:33.65,3.6660
'0:33.7,3.6685
'0:33.75,3.6713
'0:33.8,3.6747
'0:33.85,3.6781
'0:33.9,3.6799
'0:33.95,3.6694
'0:34,3.6485
'0:34.05,3.6350
'0:34.1,3.6256
'0:34.15,3.6195
'0:34.2,3.6228
'0:34.25,3.6313
'0:34.3,3.6396
'0:34.35,3.6427
'0:34.4,3.6387
'0:34.45,3.6277
'0:34.5,3.6265
'0:34.55,3.6439
'0:34.6,3.6608
'0:34.65,3.6688
'0:34.7,3.6771
'0:34.75,3.6883
'0:34.8,3.6989
'0:34.85,3.7086
'0:34.9,3.7180
'0:34.95,3.7280
'0:35,3.7403
'0:35.05,3.7546
'0:35.1,3.7664
'0:35.15,3.7757
'0:35.2,3.7856
'0:35.25,3.7943
'0:35.3,3.8010
'0:35.35,3.8088
'0:35.4,3.8185
'0:35.45,3.8302
'0:35.5,3.8420
'0:35.55,3.8498
'0:35.6,3.8560
'0:35.65,3.8613
'0:35.7,3.8626
'0:35.75,3.8600
'0:35.8,3.8564
'0:35.85,3.8514
'0:35.9,3.8452
'0:35.95,3.8387
'0:36,3.8348
'0:36.05,3.8322
'0:36.1,3.8325
'0:36.15,3.8348
'0:36.2,3.8400
'0:36.25,3.8492
'0:36.3,3.8577
'0:36.35,3.8603
'0:36.4,3.8560
'0:36.45,3.8505
'0:36.5,3.8488
'0:36.55,3.8514
'0:36.6,3.8557
'0:36.65,3.8574
'0:36.7,3.8541
'0:36.75,3.8482
'0:36.8,3.8416
'0:36.85,3.8367
'0:36.9,3.8335
'0:36.95,3.8315
'0:37,3.8302
'0:37.05,3.8279
'0:37.1,3.8243
'0:37.15,3.8198
'0:37.2,3.8146
'0:37.25,3.8085
'0:37.3,3.8020
'0:37.35,3.7962
'0:37.4,3.7907
'0:37.45,3.7840
'0:37.5,3.7763
'0:37.55,3.7680
'0:37.6,3.7591
'0:37.65,3.7505
'0:37.7,3.7419
'0:37.75,3.7334
'0:37.8,3.7252
'0:37.85,3.7174
'0:37.9,3.7098
'0:37.95,3.7029
'0:38,3.6964
'0:38.05,3.6889
'0:38.1,3.6809
'0:38.15,3.6722
'0:38.2,3.6629
'0:38.25,3.6540
'0:38.3,3.6442
'0:38.35,3.6341
'0:38.4,3.6237
'0:38.45,3.6131
'0:38.5,3.6028
'0:38.55,3.5923
'0:38.6,3.5817
'0:38.65,3.5713
'0:38.7,3.5611
'0:38.75,3.5513
'0:38.8,3.5409
'0:38.85,3.5309
'0:38.9,3.5212
'0:38.95,3.5112
'0:39,3.5010
'0:39.05,3.4911
'0:39.1,3.4818
'0:39.15,3.4740
'0:39.2,3.4671
'0:39.25,3.4619
'0:39.3,3.4584
'0:39.35,3.4561
'0:39.4,3.4547
'0:39.45,3.4547
'0:39.5,3.4564
'0:39.55,3.4584
'0:39.6,3.4610
'0:39.65,3.4633
'0:39.7,3.4662
'0:39.75,3.4717
'0:39.8,3.4789
'0:39.85,3.4864
'0:39.9,3.4931
'0:39.95,3.4989
'0:40,3.5045
'0:40.05,3.5092
'0:40.1,3.5144
'0:40.15,3.5200
'0:40.2,3.5262
'0:40.25,3.5324
'0:40.3,3.5380
'0:40.35,3.5433
'0:40.4,3.5489
'0:40.45,3.5549
'0:40.5,3.5617
'0:40.55,3.5668
'0:40.6,3.5695
'0:40.65,3.5719
'0:40.7,3.5752
'0:40.75,3.5785
'0:40.8,3.5823
'0:40.85,3.5875
'0:40.9,3.5899
'0:40.95,3.5853
'0:41,3.5635
'0:41.05,3.5306
'0:41.1,3.5039
'0:41.15,3.4818
'0:41.2,3.4633
'0:41.25,3.4461
'0:41.3,3.4307
'0:41.35,3.4196
'0:41.4,3.4116
'0:41.45,3.4046
'0:41.5,3.3981
'0:41.55,3.3919
'0:41.6,3.3871
'0:41.65,3.3835
'0:41.7,3.3815
'0:41.75,3.3799
'0:41.8,3.3771
'0:41.85,3.3718
'0:41.9,3.3640
'0:41.95,3.3562
'0:42,3.3509
'0:42.05,3.3470
'0:42.1,3.3426
'0:42.15,3.3376
'0:42.2,3.3332
'0:42.25,3.3305
'0:42.3,3.3277
'0:42.35,3.3231
'0:42.4,3.3165
'0:42.45,3.3110
'0:42.5,3.3072
'0:42.55,3.3026
'0:42.6,3.2969
'0:42.65,3.2912
'0:42.7,3.2849
'0:42.75,3.2779
'0:42.8,3.2712
'0:42.85,3.2671
'0:42.9,3.2642
'0:42.95,3.2604
'0:43,3.2545
'0:43.05,3.2473
'0:43.1,3.2407
'0:43.15,3.2353
'0:43.2,3.2311
'0:43.25,3.2268
'0:43.3,3.2223
'0:43.35,3.2184
'0:43.4,3.2149
'0:43.45,3.2123
'0:43.5,3.2102
'0:43.55,3.2078
'0:43.6,3.2063
'0:43.65,3.2049
'0:43.7,3.2023
'0:43.75,3.1984
'0:43.8,3.1924
'0:43.85,3.1866
'0:43.9,3.1829
'0:43.95,3.1811
'0:44,3.1803
'0:44.05,3.1777
'0:44.1,3.1738
'0:44.15,3.1723
'0:44.2,3.1731
'0:44.25,3.1746
'0:44.3,3.1764
'0:44.35,3.1777
'0:44.4,3.1770
'0:44.45,3.1749
'0:44.5,3.1731
'0:44.55,3.1720
'0:44.6,3.1710
'0:44.65,3.1697
'0:44.7,3.1692
'0:44.75,3.1686
'0:44.8,3.1684
'0:44.85,3.1686
'0:44.9,3.1686
'0:44.95,3.1679
'0:45,3.1673
'0:45.05,3.1666
'0:45.1,3.1645
'0:45.15,3.1609
'0:45.2,3.1583
'0:45.25,3.1560
'0:45.3,3.1531
'0:45.35,3.1513
'0:45.4,3.1505
'0:45.45,3.1503
'0:45.5,3.1490
'0:45.55,3.1467
'0:45.6,3.1444
'0:45.65,3.1418
'0:45.7,3.1397
'0:45.75,3.1377
'0:45.8,3.1351
'0:45.85,3.1328
'0:45.9,3.1297
'0:45.95,3.1262
'0:46,3.1226
'0:46.05,3.1190
'0:46.1,3.1152
'0:46.15,3.1142
'0:46.2,3.1203
'0:46.25,3.1379
'0:46.3,3.1616
'0:46.35,3.1850
'0:46.4,3.2042
'0:46.45,3.2179
'0:46.5,3.2282
'0:46.55,3.2353
'0:46.6,3.2385
'0:46.65,3.2415
'0:46.7,3.2457
'0:46.75,3.2503
'0:46.8,3.2527
'0:46.85,3.2521
'0:46.9,3.2495
'0:46.95,3.2457
'0:47,3.2423
'0:47.05,3.2383
'0:47.1,3.2327
'0:47.15,3.2239
'0:47.2,3.2142
'0:47.25,3.2063
'0:47.3,3.2000
'0:47.35,3.1944
'0:47.4,3.1879
'0:47.45,3.1809
'0:47.5,3.1754
'0:47.55,3.1707
'0:47.6,3.1666
'0:47.65,3.1635
'0:47.7,3.1611
'0:47.75,3.1596
'0:47.8,3.1604
'0:47.85,3.1640
'0:47.9,3.1692
'0:47.95,3.1749
'0:48,3.1827
'0:48.05,3.1924
'0:48.1,3.2028
'0:48.15,3.2139
'0:48.2,3.2268
'0:48.25,3.2423
'0:48.3,3.2591
'0:48.35,3.2771
'0:48.4,3.2963
'0:48.45,3.3162
'0:48.5,3.3376
'0:48.55,3.3612
'0:48.6,3.3863
'0:48.65,3.4136
'0:48.7,3.4435
'0:48.75,3.4760
'0:48.8,3.5060
'0:48.85,3.5327
'0:48.9,3.5596
'0:48.95,3.5847
'0:49,3.6064
'0:49.05,3.6225
'0:49.1,3.6301
'0:49.15,3.6332
'0:49.2,3.6393
'0:49.25,3.6479
'0:49.3,3.6571
'0:49.35,3.6688
'0:49.4,3.6799
'0:49.45,3.6914
'0:49.5,3.7020
'0:49.55,3.7076
'0:49.6,3.7092
'0:49.65,3.7076
'0:49.7,3.7048
'0:49.75,3.7026
'0:49.8,3.6998
'0:49.85,3.6964
'0:49.9,3.6899
'0:49.95,3.6784
'0:50,3.6682
'0:50.05,3.6648
'0:50.1,3.6657
'0:50.15,3.6638
'0:50.2,3.6565
'0:50.25,3.6485
'0:50.3,3.6414
'0:50.35,3.6350
'0:50.4,3.6286
'0:50.45,3.6213
'0:50.5,3.6143
'0:50.55,3.6055
'0:50.6,3.5956
'0:50.65,3.5853
'0:50.7,3.5743
'0:50.75,3.5623
'0:50.8,3.5498
'0:50.85,3.5386
'0:50.9,3.5283
'0:50.95,3.5180
'0:51,3.5077
'0:51.05,3.4992
'0:51.1,3.4931
'0:51.15,3.4893
'0:51.2,3.4859
'0:51.25,3.4838
'0:51.3,3.4827
'0:51.35,3.4809
'0:51.4,3.4789
'0:51.45,3.4754
'0:51.5,3.4708
'0:51.55,3.4656
'0:51.6,3.4613
'0:51.65,3.4567
'0:51.7,3.4521
'0:51.75,3.4472
'0:51.8,3.4424
'0:51.85,3.4369
'0:51.9,3.4307
'0:51.95,3.4218
'0:52,3.4114
'0:52.05,3.3998
'0:52.1,3.3897
'0:52.15,3.3827
'0:52.2,3.3768
'0:52.25,3.3712
'0:52.3,3.3651
'0:52.35,3.3592
'0:52.4,3.3528
'0:52.45,3.3457
'0:52.5,3.3354
'0:52.55,3.3195
'0:52.6,3.2996
'0:52.65,3.2798
'0:52.7,3.2669
'0:52.75,3.2607
'0:52.8,3.2567
'0:52.85,3.2569
'0:52.9,3.2666
'0:52.95,3.2893
'0:53,3.3110
'0:53.05,3.3198
'0:53.1,3.3228
'0:53.15,3.3236
'0:53.2,3.3231
'0:53.25,3.3220
'0:53.3,3.3214
'0:53.35,3.3212
'0:53.4,3.3220
'0:53.45,3.3242
'0:53.5,3.3261
'0:53.55,3.3283
'0:53.6,3.3316
'0:53.65,3.3363
'0:53.7,3.3258
'0:53.75,3.3061
'0:53.8,3.3168
'0:53.85,3.3434
'0:53.9,3.3570
'0:53.95,3.3626
'0:54,3.3662
'0:54.05,3.3681
'0:54.1,3.3709
'0:54.15,3.3801
'0:54.2,3.3956
'0:54.25,3.4122
'0:54.3,3.4278
'0:54.35,3.4418
'0:54.4,3.4532
'0:54.45,3.4599
'0:54.5,3.4607
'0:54.55,3.4610
'0:54.6,3.4636
'0:54.65,3.4633
'0:54.7,3.4593
'0:54.75,3.4558
'0:54.8,3.4515
'0:54.85,3.4472
'0:54.9,3.4429
'0:54.95,3.4386
'0:55,3.4364
'0:55.05,3.4346
'0:55.1,3.4332
'0:55.15,3.4324
'0:55.2,3.4329
'0:55.25,3.4332
'0:55.3,3.4332
'0:55.35,3.4329
'0:55.4,3.4307
'0:55.45,3.4264
'0:55.5,3.4216
'0:55.55,3.4173
'0:55.6,3.4139
'0:55.65,3.4105
'0:55.7,3.4074
'0:55.75,3.4043
'0:55.8,3.4001
'0:55.85,3.3956
'0:55.9,3.3897
'0:55.95,3.3829
'0:56,3.3768
'0:56.05,3.3715
'0:56.1,3.3667
'0:56.15,3.3620
'0:56.2,3.3573
'0:56.25,3.3512
'0:56.3,3.3203
'0:56.35,3.2628
'0:56.4,3.2208
'0:56.45,3.2042
'0:56.5,3.1947
'0:56.55,3.1856
'0:56.6,3.1754
'0:56.65,3.1624
'0:56.7,3.1431
'0:56.75,3.1134
'0:56.8,3.0778
'0:56.85,3.0494
'0:56.9,3.0340
'0:56.95,3.0271
'0:57,3.0244
'0:57.05,3.0239
'0:57.1,3.0251
'0:57.15,3.0278
'0:57.2,3.0306
'0:57.25,3.0315
'0:57.3,3.0318
'0:57.35,3.0318
'0:57.4,3.0323
'0:57.45,3.0330
'0:57.5,3.0333
'0:57.55,3.0330
'0:57.6,3.0328
'0:57.65,3.0325
'0:57.7,3.0315
'0:57.75,3.0301
'0:57.8,3.0276
'0:57.85,3.0254
'0:57.9,3.0237
'0:57.95,3.0217
'0:58,3.0190
'0:58.05,3.0143
'0:58.1,3.0089
'0:58.15,3.0045
'0:58.2,3.0006
'0:58.25,2.9970
'0:58.3,2.9948
'0:58.35,3.0004
'0:58.4,3.0197
'0:58.45,3.0446
'0:58.5,3.0633
'0:58.55,3.0690
'0:58.6,3.0658
'0:58.65,3.0673
'0:58.7,3.0859
'0:58.75,3.1081
'0:58.8,3.1183
'0:58.85,3.1206
'0:58.9,3.1172
'0:58.95,3.1089
'0:59,3.1015
'0:59.05,3.0967
'0:59.1,3.0856
'0:59.15,3.0665
